groups,yf_ticker,name,min_wgt,neut_wgt,max_wgt
Health Care,CNC,Centene Corporation,0,0.09793,0.19586
Consumer Staples,WBA,Walgreens Boots Alliance Inc,0,0.096822,0.193644
Industrials,CTAS,Cintas Corporation,0,0.096798,0.193596
Industrials,ROK,Rockwell Automation Inc.,0,0.095602,0.191204
Energy,PSX,Phillips 66,0,0.095577,0.191154
Consumer Staples,ADM,Archer-Daniels-Midland Company,0,0.09535,0.1907
Energy,KMI,Kinder Morgan Inc Class P,0,0.095167,0.190334
Real Estate,SBAC,SBA Communications Corp. Class A,0,0.095135,0.19027
Energy,WMB,Williams Companies Inc.,0,0.094789,0.189578
Industrials,OTIS,Otis Worldwide Corporation,0,0.094557,0.189114
Real Estate,WELL,Welltower Inc.,0,0.093751,0.187502
Utilities,XEL,Xcel Energy Inc.,0,0.093584,0.187168
Industrials,CMI,Cummins Inc.,0,0.091096,0.182192
Industrials,VRSK,Verisk Analytics Inc,0,0.090967,0.181934
Financials,AFL,Aflac Incorporated,0,0.090718,0.181436
Real Estate,CBRE,CBRE Group Inc. Class A,0,0.090139,0.180278
Financials,STT,State Street Corporation,0,0.089067,0.178134
Financials,AJG,Arthur J. Gallagher & Co.,0,0.088707,0.177414
Industrials,TDG,TransDigm Group Incorporated,0,0.088408,0.176816
Information Technology,HPQ,HP Inc.,0,0.087721,0.175442
Financials,AMP,Ameriprise Financial Inc.,0,0.086668,0.173336
Health Care,MTD,Mettler-Toledo International Inc.,0,0.086222,0.172444
Real Estate,AVB,AvalonBay Communities Inc.,0,0.086186,0.172372
Energy,VLO,Valero Energy Corporation,0,0.085977,0.171954
Financials,WLTW,Willis Towers Watson Public Limited Company,0,0.08506,0.17012
Industrials,FAST,Fastenal Company,0,0.084918,0.169836
Consumer Staples,MNST,Monster Beverage Corporation,0,0.084686,0.169372
Materials,CTVA,Corteva Inc,0,0.084583,0.169166
Industrials,EFX,Equifax Inc.,0,0.084477,0.168954
Health Care,MCK,McKesson Corporation,0,0.083736,0.167472
Information Technology,ANSS,ANSYS Inc.,0,0.083147,0.166294
Utilities,AWK,American Water Works Company Inc.,0,0.082522,0.165044
Utilities,PEG,Public Service Enterprise Group Inc,0,0.082473,0.164946
Information Technology,KEYS,Keysight Technologies Inc,0,0.082348,0.164696
Health Care,ZBH,Zimmer Biomet Holdings Inc.,0,0.081029,0.162058
Industrials,LUV,Southwest Airlines Co.,0,0.080955,0.16191
Industrials,CPRT,Copart Inc.,0,0.080541,0.161082
Health Care,WST,West Pharmaceutical Services Inc.,0,0.080082,0.160164
Utilities,ES,Eversource Energy,0,0.080046,0.160092
Financials,FITB,Fifth Third Bancorp,0,0.079897,0.159794
Materials,BLL,Ball Corporation,0,0.079835,0.15967
Industrials,PCAR,PACCAR Inc,0,0.079798,0.159596
Materials,NUE,Nucor Corporation,0,0.079262,0.158524
Industrials,AME,AMETEK Inc.,0,0.078836,0.157672
Industrials,SWK,Stanley Black & Decker Inc.,0,0.077272,0.154544
Real Estate,EQR,Equity Residential,0,0.077158,0.154316
Information Technology,GLW,Corning Inc,0,0.076955,0.15391
Energy,OKE,ONEOK Inc.,0,0.076415,0.15283
Consumer Discretionary,DHI,D.R. Horton Inc.,0,0.07571,0.15142
Energy,OXY,Occidental Petroleum Corporation,0,0.075379,0.150758
Utilities,WEC,WEC Energy Group Inc,0,0.07533,0.15066
Financials,SYF,Synchrony Financial,0,0.075013,0.150026
Real Estate,WY,Weyerhaeuser Company,0,0.074779,0.149558
Industrials,ODFL,Old Dominion Freight Line Inc.,0,0.073915,0.14783
Real Estate,ARE,Alexandria Real Estate Equities Inc.,0,0.073815,0.14763
Industrials,GNRC,Generac Holdings Inc.,0,0.072971,0.145942
